epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,7173.31,0.4416,0.3708,1.05193,0.99118,0.99827,0.99492,0.92234,0.40933,0.19916,0.88073,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7292.92,0.43584,0.35938,1.05082,0.99324,0.99812,0.99492,0.92224,0.40629,0.19532,0.87677,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7413.46,0.4339,0.36036,1.04755,0.99301,0.9994,0.99492,0.92282,0.41022,0.19603,0.88274,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7535.65,0.44011,0.36443,1.05274,0.99281,0.99829,0.99487,0.92358,0.40561,0.19359,0.87348,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7655.25,0.43351,0.35706,1.04793,0.99329,0.99581,0.99488,0.92489,0.40056,0.1897,0.8663,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7776.56,0.43485,0.36303,1.05293,0.99309,0.99682,0.99493,0.92631,0.39517,0.18588,0.86207,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7896.27,0.42949,0.34659,1.04234,0.99379,0.99705,0.99496,0.92505,0.40058,0.18906,0.86837,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8016.69,0.42882,0.34556,1.04492,0.99331,0.99677,0.99496,0.92496,0.40053,0.18821,0.86711,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8138.41,0.42463,0.33941,1.04141,0.99417,0.99556,0.99499,0.92427,0.40048,0.18637,0.86548,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8259.64,0.42521,0.33941,1.04478,0.99216,0.99668,0.99485,0.92468,0.39719,0.18779,0.86418,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8381.27,0.42333,0.34014,1.04229,0.99222,0.99624,0.99483,0.92482,0.39642,0.18555,0.86119,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8503.22,0.42039,0.33944,1.0405,0.99354,0.99575,0.99483,0.92422,0.39818,0.18749,0.863,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
